date,order,Capsule,Family,ID,eggmass,original,current,gen
10/1/2017,1,0.11,SCW46,SCW46A2B220C16ppt,1,20C16ppt,20C16ppt,p
10/1/2017,2,0.119,SCW46,SCW46A2B220C16ppt,1,20C16ppt,20C16ppt,p
10/1/2017,3,0.129,SCW46,SCW46A2B220C16ppt,2,20C16ppt,20C16ppt,p
10/1/2017,4,0.14,SCW46,SCW46A2B220C16ppt,2,20C16ppt,20C16ppt,p
10/1/2017,5,0.186,SCW46,SCW46A2B220C16ppt,2,20C16ppt,20C16ppt,p
10/1/2017,6,0.122,SCW46,SCW46A2B220C16ppt,2,20C16ppt,20C16ppt,p
10/1/2017,7,0.171,SCW46,SCW46A2B220C16ppt,3,20C16ppt,20C16ppt,p
10/1/2017,8,0.175,SCW46,SCW46A2B220C16ppt,3,20C16ppt,20C16ppt,p
10/1/2017,9,0.104,SCW46,SCW46A2B220C16ppt,3,20C16ppt,20C16ppt,p
10/1/2017,10,0.156,SCW46,SCW46A2B220C16ppt,3,20C16ppt,20C16ppt,p
10/1/2017,11,0.089,SCW46,SCW46A2B220C16ppt,4,20C16ppt,20C16ppt,p
10/1/2017,12,0.099,SCW46,SCW46A2B220C16ppt,4,20C16ppt,20C16ppt,p
10/1/2017,13,0.098,SCW46,SCW46A2B220C16ppt,5,20C16ppt,20C16ppt,p
10/1/2017,14,0.09,SCW46,SCW46A2B220C16ppt,5,20C16ppt,20C16ppt,p
10/1/2017,15,0.17,SCW46,SCW46A2B220C16ppt,6,20C16ppt,20C16ppt,p
10/1/2017,16,0.184,SCW46,SCW46A2B220C16ppt,6,20C16ppt,20C16ppt,p
10/1/2017,17,0.159,SCW46,SCW46A2B220C16ppt,7,20C16ppt,20C16ppt,p
10/1/2017,18,0.155,SCW46,SCW46A2B220C16ppt,7,20C16ppt,20C16ppt,p
10/1/2017,19,0.117,SCW46,SCW46A220C32ppt,1,20C32ppt,20C32ppt,p
10/1/2017,20,0.126,SCW46,SCW46A220C32ppt,1,20C32ppt,20C32ppt,p
10/1/2017,21,0.123,SCW46,SCW46A220C32ppt,2,20C32ppt,20C32ppt,p
10/1/2017,22,0.122,SCW46,SCW46A220C32ppt,2,20C32ppt,20C32ppt,p
10/1/2017,23,0.138,SCW46,SCW46A220C32ppt,3,20C32ppt,20C32ppt,p
10/1/2017,24,0.138,SCW46,SCW46A220C32ppt,3,20C32ppt,20C32ppt,p
10/1/2017,25,0.233,SCW46,SCW46B220C32ppt,3,20C32ppt,20C32ppt,p
10/1/2017,26,0.247,SCW46,SCW46B220C32ppt,3,20C32ppt,20C32ppt,p
10/1/2017,27,0.216,SCW46,SCW46B220C32ppt,3,20C32ppt,20C32ppt,p
10/1/2017,28,0.086,SCW46,SCW46B420C16ppt,1,20C16ppt,20C16ppt,p
10/1/2017,29,0.101,SCW46,SCW46B420C16ppt,1,20C16ppt,20C16ppt,p
10/1/2017,30,0.126,SCW46,SCW46C120C16ppt,1,20C16ppt,20C16ppt,p
10/1/2017,31,0.112,SCW46,SCW46C120C16ppt,1,20C16ppt,20C16ppt,p
10/7/2017,1,0.119,SCW46,SCW46A120C32ppt,1,20C32ppt,20C32ppt,p
10/7/2017,2,0.119,SCW46,SCW46A120C32ppt,1,20C32ppt,20C32ppt,p
10/7/2017,3,0.115,SCW46,SCW46A120C32ppt,2,20C32ppt,20C32ppt,p
10/7/2017,4,0.107,SCW46,SCW46A120C32ppt,2,20C32ppt,20C32ppt,p
10/7/2017,5,0.143,SCW46,SCW46A220C16ppt,1,20C16ppt,20C16ppt,p
10/7/2017,6,0.155,SCW46,SCW46A220C16ppt,1,20C16ppt,20C16ppt,p
10/7/2017,7,0.083,SCW46,SCW46A420C16ppt,1,20C16ppt,20C16ppt,p
10/7/2017,8,0.1,SCW46,SCW46A420C16ppt,1,20C16ppt,20C16ppt,p
10/7/2017,9,0.124,SCW46,SCW46A420C32ppt,1,20C32ppt,20C32ppt,p
10/7/2017,10,0.143,SCW46,SCW46A420C32ppt,1,20C32ppt,20C32ppt,p
10/7/2017,11,0.147,SCW46,SCW46A420C32ppt,2,20C32ppt,20C32ppt,p
10/7/2017,12,0.119,SCW46,SCW46A420C32ppt,2,20C32ppt,20C32ppt,p
10/7/2017,13,0.157,SCW46,SCW46B120C16ppt,1,20C16ppt,20C16ppt,p
10/7/2017,14,0.197,SCW46,SCW46B120C16ppt,1,20C16ppt,20C16ppt,p
10/7/2017,15,0.134,SCW46,SCW46B120C16ppt,1,20C16ppt,20C16ppt,p
10/7/2017,16,0.219,SCW46,SCW46B220C16ppt,1,20C16ppt,20C16ppt,p
10/7/2017,17,0.215,SCW46,SCW46B220C16ppt,1,20C16ppt,20C16ppt,p
10/7/2017,18,0.229,SCW46,SCW46B220C32ppt,1,20C32ppt,20C32ppt,p
10/7/2017,19,0.236,SCW46,SCW46B220C32ppt,1,20C32ppt,20C32ppt,p
10/7/2017,20,0.207,SCW46,SCW46B220C16ppt,2,20C16ppt,20C16ppt,p
10/7/2017,21,0.212,SCW46,SCW46B220C16ppt,2,20C16ppt,20C16ppt,p
10/7/2017,22,0.093,SCW46,SCW46B320C16ppt,1,20C16ppt,20C16ppt,p
10/7/2017,23,0.105,SCW46,SCW46B320C16ppt,1,20C16ppt,20C16ppt,p
10/7/2017,24,0.125,SCW46,SCW46C120C32ppt,1,20C32ppt,20C32ppt,p
10/7/2017,25,0.121,SCW46,SCW46C120C32ppt,1,20C32ppt,20C32ppt,p
10/7/2017,26,0.107,SCW46,SCW46C120C32ppt,2,20C32ppt,20C32ppt,p
10/7/2017,27,0.095,SCW46,SCW46C120C32ppt,2,20C32ppt,20C32ppt,p
10/7/2017,28,0.125,SCW46,SCW46C120C32ppt,3,20C32ppt,20C32ppt,p
10/7/2017,29,0.127,SCW46,SCW46C120C32ppt,3,20C32ppt,20C32ppt,p
10/7/2017,30,0.112,SCW46,SCW46C120C32ppt,4,20C32ppt,20C32ppt,p
10/7/2017,31,0.119,SCW46,SCW46C120C32ppt,4,20C32ppt,20C32ppt,p
10/7/2017,32,0.089,SCW46,SCW46C120C32ppt,5,20C32ppt,20C32ppt,p
10/7/2017,33,0.117,SCW46,SCW46C120C32ppt,5,20C32ppt,20C32ppt,p
10/7/2017,34,0.13,SCW46,SCW46C120C32ppt,6,20C32ppt,20C32ppt,p
10/7/2017,35,0.127,SCW46,SCW46C120C32ppt,6,20C32ppt,20C32ppt,p
10/7/2017,36,0.103,SCW46,SCW46C420C16ppt,1,20C16ppt,20C16ppt,p
10/7/2017,37,0.126,SCW46,SCW46C420C16ppt,1,20C16ppt,20C16ppt,p
10/10/2017,1,0.098,SCW46,SCW46A220C16ppt,1,20C16ppt,20C16ppt,p
10/10/2017,2,0.112,SCW46,SCW46A220C16ppt,1,20C16ppt,20C16ppt,p
10/10/2017,3,0.115,SCW46,SCW46A220C16ppt,2,20C16ppt,20C16ppt,p
10/10/2017,4,0.114,SCW46,SCW46A220C16ppt,2,20C16ppt,20C16ppt,p
10/10/2017,5,0.111,SCW46,SCW46A220C16ppt,3,20C16ppt,20C16ppt,p
10/10/2017,6,0.099,SCW46,SCW46A220C16ppt,3,20C16ppt,20C16ppt,p
10/10/2017,7,0.107,SCW46,SCW46A420C16ppt,1,20C16ppt,20C16ppt,p
10/10/2017,8,0.102,SCW46,SCW46A420C16ppt,1,20C16ppt,20C16ppt,p
10/10/2017,9,0.111,SCW46,SCW46A420C16ppt,2,20C16ppt,20C16ppt,p
10/10/2017,10,0.108,SCW46,SCW46A420C16ppt,2,20C16ppt,20C16ppt,p
10/10/2017,11,0.101,SCW46,SCW46B420C16ppt,1,20C16ppt,20C16ppt,p
10/10/2017,12,0.094,SCW46,SCW46B420C16ppt,1,20C16ppt,20C16ppt,p
10/10/2017,13,0.128,SCW46,SCW46C220C32ppt,1,20C32ppt,20C32ppt,p
10/10/2017,14,0.137,SCW46,SCW46C220C32ppt,1,20C32ppt,20C32ppt,p
10/10/2017,15,0.133,SCW46,SCW46C420C16ppt,1,20C16ppt,20C16ppt,p
10/10/2017,16,0.129,SCW46,SCW46C420C16ppt,1,20C16ppt,20C16ppt,p
10/10/2017,17,0.108,SCW46,SCW46C420C16ppt,2,20C16ppt,20C16ppt,p
10/10/2017,18,0.104,SCW46,SCW46C420C16ppt,2,20C16ppt,20C16ppt,p
10/13/2017,1,0.112,SCW46,SCW46A220C16ppt,1,20C16ppt,20C16ppt,p
10/13/2017,2,0.115,SCW46,SCW46A220C16ppt,1,20C16ppt,20C16ppt,p
10/13/2017,3,0.095,SCW46,SCW46A220C32ppt,1,20C32ppt,20C32ppt,p
10/13/2017,4,0.1,SCW46,SCW46A220C32ppt,1,20C32ppt,20C32ppt,p
10/13/2017,5,0.105,SCW46,SCW46A220C16ppt,2,20C16ppt,20C16ppt,p
10/13/2017,6,0.104,SCW46,SCW46A220C16ppt,2,20C16ppt,20C16ppt,p
10/13/2017,7,0.094,SCW46,SCW46A220C32ppt,2,20C32ppt,20C32ppt,p
10/13/2017,8,0.093,SCW46,SCW46A220C32ppt,2,20C32ppt,20C32ppt,p
10/13/2017,9,0.106,SCW46,SCW46A220C16ppt,3,20C16ppt,20C16ppt,p
10/13/2017,10,0.122,SCW46,SCW46A220C16ppt,3,20C16ppt,20C16ppt,p
10/13/2017,11,0.113,SCW46,SCW46A420C16ppt,1,20C16ppt,20C16ppt,p
10/13/2017,12,0.108,SCW46,SCW46A420C16ppt,1,20C16ppt,20C16ppt,p
10/13/2017,13,0.167,SCW46,SCW46B120C16ppt,1,20C16ppt,20C16ppt,p
10/13/2017,14,0.186,SCW46,SCW46B120C16ppt,1,20C16ppt,20C16ppt,p
10/13/2017,15,0.117,SCW46,SCW46B120C16ppt,1,20C16ppt,20C16ppt,p
10/13/2017,16,0.175,SCW46,SCW46B120C16ppt,1,20C16ppt,20C16ppt,p
10/13/2017,17,0.177,SCW46,SCW46B120C32ppt,1,20C32ppt,20C32ppt,p
10/13/2017,18,0.175,SCW46,SCW46B120C32ppt,1,20C32ppt,20C32ppt,p
10/13/2017,19,0.16,SCW46,SCW46B120C16ppt,2,20C16ppt,20C16ppt,p
10/13/2017,20,0.158,SCW46,SCW46B120C16ppt,2,20C16ppt,20C16ppt,p
10/13/2017,21,0.119,SCW46,SCW46B120C16ppt,2,20C16ppt,20C16ppt,p
10/13/2017,22,0.206,SCW46,SCW46B120C32ppt,2,20C32ppt,20C32ppt,p
10/13/2017,23,0.128,SCW46,SCW46B120C32ppt,2,20C32ppt,20C32ppt,p
10/13/2017,24,0.196,SCW46,SCW46B120C32ppt,2,20C32ppt,20C32ppt,p
10/13/2017,25,0.16,SCW46,SCW46B120C32ppt,2,20C32ppt,20C32ppt,p
10/13/2017,26,0.182,SCW46,SCW46B120C16ppt,3,20C16ppt,20C16ppt,p
10/13/2017,27,0.168,SCW46,SCW46B120C16ppt,3,20C16ppt,20C16ppt,p
10/13/2017,28,0.167,SCW46,SCW46B220C16ppt,1,20C16ppt,20C16ppt,p
10/13/2017,29,0.153,SCW46,SCW46B220C16ppt,1,20C16ppt,20C16ppt,p
10/13/2017,30,0.234,SCW46,SCW46B220C32ppt,1,20C32ppt,20C32ppt,p
10/13/2017,31,0.213,SCW46,SCW46B220C32ppt,1,20C32ppt,20C32ppt,p
10/13/2017,32,0.221,SCW46,SCW46B220C32ppt,2,20C32ppt,20C32ppt,p
10/13/2017,33,0.216,SCW46,SCW46B220C32ppt,2,20C32ppt,20C32ppt,p
10/13/2017,34,0.141,SCW46,SCW46B220C32ppt,2,20C32ppt,20C32ppt,p
10/13/2017,35,0.125,SCW46,SCW46B220C32ppt,3,20C32ppt,20C32ppt,p
10/13/2017,36,0.217,SCW46,SCW46B220C32ppt,3,20C32ppt,20C32ppt,p
10/13/2017,37,0.11,SCW46,SCW46B320C16ppt,1,20C16ppt,20C16ppt,p
10/13/2017,38,0.1,SCW46,SCW46B320C16ppt,1,20C16ppt,20C16ppt,p
10/13/2017,39,0.115,SCW46,SCW46B320C16ppt,2,20C16ppt,20C16ppt,p
10/13/2017,40,0.111,SCW46,SCW46B320C16ppt,2,20C16ppt,20C16ppt,p
10/13/2017,41,0.118,SCW46,SCW46B420C16ppt,1,20C16ppt,20C16ppt,p
10/13/2017,42,0.117,SCW46,SCW46B420C16ppt,1,20C16ppt,20C16ppt,p
10/17/2017,1,0.161,SCW46,SCW46B120C32ppt,1,20C32ppt,20C32ppt,p
10/17/2017,2,0.15,SCW46,SCW46B120C32ppt,1,20C32ppt,20C32ppt,p
